name,line
"         ON ROSS AND T'CHALLA
","         the Dora to follow her off .
"
"          NAKIA (O. S . )
","         T'Challa turns to Shuri .
"
"                         T' CHALLA
","          So surprised my little sister came
"
"          OKOYE(O. S . )
","          to see me off before our big day .
"
"                         T'CHALLA
","          14.
"
"                        ON NAKIA
","
"
"                         NAKIA
","
"
"                        ON OKOYE
","          You wish . I'm here for the EMP
"
"                         OKOYE
","          beads, I've developed an update.
"
"          NAKIA (O. S . )
","          Update? No, it worked perfectly .
"
"                         OKOYE
","          How many times to I have to teach
"
"                        ON KLAUE
","          you, just because something works ,
"
"         I NT. FIRST FLOOR CRAPS TABLE - NIGHT
","          doesn't mean that it cannot be
"
"                         ROSS
","          improved .
"
