name,line
,"          Just put it on, it's armor !
"
,"         Shuri runs up the ramp . Nakia begrudgingly grabs the DORA
"
,"         MILAJE UNIFORMand runs after her .
"
,"          Good luck , Agent Ross!
"
,"          Yea I don ' t know what I'm doing --
"
,"          We're counting on you!
"
,"
"
,"         Okoye jumps over and throws her spear at Killmonger , it
"
,"         bounces off , Okoye catches in stride. She's on the attack.
"
,"         The Dora Milaje advance on Killmonger, but DORAMILAJE #1
"
,"         strikes too quick l y , and Killmonger uses his superior
"
,"         strength and speed to grab her mid-strike, using her as a
"
,"         shield to hold off Okoye and the other Dora.
"
,"          Wakanda Forever .
"
,"         Killmonger then slits her throat with his vibranium sword .
"
,"         Okoye, devastated , leads another attack on Killmonger .
"
,"          106 .
"
,"
"
,"
"
,"          . ,
"
,"         As Nakia and Shuri sneak out onto the deck , and plant the
"
,"         Kimoyo bead puck on the RTF.
"
,"
"
,"         Ross paces waiting for word from Shuri or Nakia about what to
"
,"         do, when suddenly the SAND TABLE drops to the ground,
"
,"         revealing an F- 16 cockpit .
"
,"          Remote piloting system activated .
"
,"          I made it American style for you !
"
,"          Get in !
"
,"         Ross hops in and starts up the ship.
"
,"
"
,"         The RTF clumsily takes off, its thrusters blowing back two
"
,"         Kingsguard pilots .
"
,"          Yes !!
"
,"          Go! We can't let those weapons get
"
,"          beyond Wakanda .
"
,"
"
,"
"
,"          Alright , I'm on it .
"
,"
"
,"          ,
"
,"         The RTF starts in one direction does au-turn and TAKES off
"
,"         after the other ships .
"
,"         T'Challa runs full speed next to RHINO #2 swings around its
"
,"         horn and does a takedown maneuver causing the Rhino to fall
"
,"         into the TRENCHleft by the wing of the TALONFIGHTER.
"
,"         T'Challa flips out of the trench while the Rhino is trapped
"
,"         by the steep incline .
"
,"
"
,"          ,
"
,"          107 .
"
,"
"
,"         Killmonger is surrounded by Okoye and two Dora . They continue
"
,"         to back him up with synchronized hits , until they surround
"
,"         him with a TRIPLE SPEAR TRAP around his neck .
"
,"          Lock! Get him down!
"
,"         They tighten their grip around his neck.
"
,"          Get the necklace!
"
,"         But Killmonger drops to his knees and expels his suit's
"
,"         kinetic energy , blowing the Dora down the hill .
"
,"         Nakia takes off to ward Killmonger .
"
,"          Wakanda Forever !!
"
,"         He moves towards them with rage in his eyes . He engages
"
,"         Shuri and Nakia in battle , Nakia holds her own with her
"
,"         advanced ringblades while Shuri strafes from the side with
"
,"         her panther gaunt l ets-- shooting Killmonger from a distance .
"
,"
"
,"         Ross flies the RTF over Wakanda, and sees the group of
"
,"         aircraft in the distance .
"
,"          Ok Shuri , I got 'em what do I do?
"
,"          Shoot them down genius!
"
,"          Alright ...
"
,"         Ross places his hands on the firing mechanism .
"
,"          Here goes nothing .
"
,"         A RED TARGETINGCURSORpops up on the display .
"
,"         Ross reacts , then guides the cursor over the cargo ship, and
"
,"         fires !
"
,"
"
,"          108.
"
,"
"
,"
"
,"         The RTF goes into battle mode . Weapons pop out from opening
"
,"         all over the craft in quick succession .
"
,"         The RTF launches a SONIC BLAST that tears through the wing of
"
,"         the first cargo ship. Causing it to spiral down into the
"
,"         docking shores below .
"
,"
"
,"
"
,"         Ross watches as the cargo ship drops .
"
,"          Alright , I got 'em.
"
,"
"
,"         The DRAGONFLYER PILOTS see the cargo ship drop and turn back
"
,"         around towards the RTF. THREE DRAFONGFLYERS immediately begin
"
,"         firing at the RTF.
"
,"          Oh shit shit shit .
"
,"
"
,"
"
,"                         -
"
,"         Panther tangles with the Border Tribe , but is suddenly
"
,"         SMASHED the back by M20 and is sent flying through the
"
,"         air, and into a large rock .
"
,"
"
,"
"
,"          ,
"
,"         Killmonger lands two hard swiping blows on Nakia , slashing
"
,"         her arm and her leg , then throws her down the hill , leaving
"
,"         him alone with Shuri , who BLASTS AW at Killmonger,
"
,"          AY until he
"
,"         suddenly springs at her, GRABBINGHER GAUNTLETS WITH HIS
"
,"         CLAWSand BREAKSTHEM !
"
,"         On the ground, Panther is suddenly swarmed by Border
"
,"         Tribesmen and PINNED DOWN,stabbed, kicked and slashed with
"
,"         blades by the mob. He sees Killmonger in the distance closing
"
,"         in on Shuri , and then expels the kinetic energy in his suit
"
,"         and . . . WHAM! ! !
"
,"          Shuri I!
"
,"         The DOG PILE is LAU
"
,"          NCHED off through the air !
"
,"          109 .
"
,"
"
,"
"
,"          What's up, Princess?
"
,"          You ' ll never be a true King.
"
,"         Killmonger ominously edges closer and flips his broken SPEAR
"
,"         preparing to go in for the kill when ...
"
,"         Shuri DUCKSas Panther TACKLESKILLMONGER THE BACK
"
,"         sending them both plunging down into the mine shaft!
"
,"          Brother !!
"
,"         Both falling down the massive cavern , Panther and Killmonger
"
,"         fight on their way down .
"
,"                         -
"
,"         Panther crashes to the bottom of the vibranium mine, wounded .
"
,"         Panther rolls over and barely dodges a knee drop from
"
,"         Killmonger .
"
,"         Killmonger and T'Challa exchange blows, Killmonger getting
"
,"         the better of T'Challa in his exposed areas, while T'Challa
"
,"         is getting nowhere. They both go for a super punch and knock
"
,"         each other back.
"
,"         T'Challa lands on his back and looks up at the sonic
"
,"         stabilizer . He radios to Shuri .
"
,"          Shuri !
"
,"          Brother !
"
,"          Turn on the train on the bottom
"
,"          track!
"
,"          But the stabilizers will deactivate
"
,"          your suit ... you won't have
"
,"          protection !
"
,"          Neither will he.
"
,"          110 .
"
,"
"
,"
"
,"          Okay !
"
,"
"
,"          ,
"
,"         Shuri activates a button on her Kimoyo beads .
"
,"
"
,"                         -
"
,"         In the vibranium mine , down the track from Panther and
"
,"         Killmonger's fight , we see a light come on in the train port .
"
,"         As they fight , the panels light up in succession, and we see
"
,"         a silent , Maglev train hurdling right at them .
"
,"         Both fighters evade the train at the last second as the train
"
,"         whips past , creating a barrier between them too big to jump
"
,"         over.
"
,"         T'Challa stands up as his suit partially retracts into his
"
,"         necklace leaving his skin exposed .
"
,"         Killmonger , on the other side of the train , looks at his
"
,"         malfunctioning suit in confusion . He turns and looks back at
"
,"         the stabilizer .
"
,"          I don't need a suit to kill you .
"
,"         They look at each other from across the blinding fast train .
"
,"          Your reign is over. You sat up here
"
,"          safe and protected.
"
,"          You want to see us become just like
"
,"          the people you hate so much? Divide
"
,"          and conquer the land as they did?
"
,"          No I learn from my enemies -- beat
"
,"          them at their own game .
"
,"          You have become them . You will
"
,"          destroy the world, Wakanda
"
,"          included .
"
,"          The world took away everything away
"
,"          from me! Everything I ever loved !
"
,"          But I'm gonna make sure we're even.
"
,"          111.
"
,"
"
,"          I'm gonna track down anyone who
"
,"          would even think about being loyal
"
,"          to you , and I'm gonna put they ass
"
,"          in the dirt , right next to Zuri.
"
,"         Hatred flashes over T'Challa's eyes as he reengages his mask
"
,"         and the train clears. Killmonger engages his mask , and they
"
,"         leap at each other again .
"
,"         Shuri moves to Nakia's side and helps her up.
"
,"          Nakia! Are you alright?
"
,"          I'm ok . You?
"
,"          Yes .
"
,"          Let's go .
"
,"         They join the fight with Okoye and Ayo.
"
,"
"
,"
"
,"         Ross begins maneuvering the controls like an expert pilot.
"
,"         He guides the ship through a canyon, chasing the remaining
"
,"         CARGOSHIP , while firing at the THREE DRAGONFLYERSthat are
"
,"         all attempting to take him down.
"
,"          Shuri, I've lost one of them but
"
,"          two are on my tail .
"
,"
"
,"
"
,"
"
,"         The CARGO SHIP hurdles ahead, while the RTF navigates
"
,"         DRAGONFLERBLASTS and ROCK OUTCROPPINGS .
"
,"
"
,"
"
,"
"
,"
"
,"
"
,"         The building begins to shake as Ross, confused .
"
,"          112 .
"
,"
"
,"
"
,"          What the hell was that?
"
,"          The lab is under attack .
"
,"          What? Where?
"
,"          Deactivating hologram .
"
,"         The display in front of Ross comes down, revealing A MASSIVE
"
,"         DRAGONFLYER FIRING SONIC BLASTS outside of the windows of the
"
,"         lab.
"
,"         Ross jumps at the sight of this . Realizing he is now sitting
"
,"         in a death trap.
"
,"          Ross! You have to get out of there
"
,"          now !
"
,"          How long have I got?
"
,"          Glass integrity is at 50%
"
,"         Ross looks at the window and thinks about it for a beat . He
"
,"         re-grips the pilot handles.
"
,"          Put me back in.
"
,"          Ross ! Ross? !
"
,"         The ship projection comes back up , and Ross continues to fly.
"
,"
"
,"
"
,"          ,
"
,"         As our heroes fight , the Border Tribesmen continue to use
"
,"         their advanced shields to close them off into an impenetrable
"
,"         circle .
"
,"         Okoye looks around, searching for an option for escape
"
,"         through the sea of Border Tribesmen . We find W' Kabi in the
"
